Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Month,Date,Festival,Festival_Name
2019-10-19 00:00:00,47.29727272727273,106.99555555555555,10.832916666666668,38.6325,30.277083333333334,49.043,7.610416666666667,0.6258333333333334,21.55090909090909,1.6583333333333334,6.679444444444445,1.2,,1.92375,2.774,23.009285714285717,67.17049999999999,0.6613636363636363,167.0245,0.0,0.0,13.2425,791.05375,,10,19,False,
2019-10-19 01:00:00,53.64454545454546,117.41944444444444,9.882083333333334,34.02125,26.6275,50.195,10.809166666666668,0.5945833333333334,17.599166666666665,1.7849999999999997,7.179444444444444,1.142,,2.34,2.9210000000000003,22.62071428571429,66.47277777777778,0.759090909090909,188.453,0.0,0.0,12.89125,791.16125,,10,19,False,
2019-10-19 02:00:00,57.39227272727272,116.3722222222222,13.481249999999998,35.04083333333333,29.962083333333336,48.8245,7.927916666666667,0.5520833333333334,18.54208333333333,1.703888888888889,7.991666666666666,1.221,,2.1225,2.718,22.517142857142854,67.31444444444443,0.7899999999999999,172.9875,0.0,0.0,12.96,790.9,,10,19,False,
2019-10-19 03:00:00,55.68181818181818,110.87166666666668,12.67,36.141666666666666,30.80875,53.7275,7.8945454545454545,0.5908333333333333,17.203636363636363,1.95,8.057222222222222,1.207,,2.3925,2.676,21.96142857142857,72.5615,0.7463636363636362,141.86700000000002,0.0,0.0,12.92,790.65875,,10,19,False,
2019-10-19 04:00:00,56.07875000000001,104.7395,18.66333333333333,35.1375,33.682916666666664,52.932,6.572916666666667,0.60875,16.38409090909091,1.877777777777777,7.968888888888888,1.194,,3.5475000000000003,3.372,21.65428571428572,73.3265,0.6486363636363636,178.52849999999998,0.0,0.0,12.968125,790.8525,,10,19,False,
2019-10-19 05:00:00,56.55791666666667,107.4115,16.59375,37.07125,33.900416666666665,53.4735,7.144166666666667,0.63125,14.932272727272728,1.77,8.329444444444444,1.266,,3.89625,3.548,21.265,74.4395,0.5990909090909091,155.702,0.0,0.0,13.060625,791.171875,,10,19,False,
2019-10-19 06:00:00,59.09875,109.8535,19.16541666666667,36.28833333333333,35.70666666666667,54.89300000000001,7.484583333333333,0.7558333333333334,12.425454545454546,1.995555555555556,8.67,1.542,,3.395,3.554,21.027142857142856,75.038,0.6945454545454545,134.945,0.0,0.0,15.609090909090908,793.654375,,10,19,False,
2019-10-19 07:00:00,71.82136363636363,141.40666666666667,21.055,38.795,40.53681818181818,65.95722222222223,31.125555555555557,2.427272727272728,16.497500000000002,2.35875,9.043125,1.6800000000000002,,3.563333333333333,3.8675,22.089285714285715,73.862,0.6940909090909091,138.6545,0.0,0.0,68.56227272727273,793.96125,,10,19,False,
2019-10-19 08:00:00,90.4025,176.96444444444444,12.1285,37.6895,32.1445,64.5911111111111,13.376499999999998,0.959,17.500999999999998,2.329375,8.285625,1.717,,3.643333333333333,3.89125,23.842142857142857,72.4688888888889,0.7775000000000001,130.98222222222222,0.0171428571428571,0.0384615384615384,166.1115,782.7299999999999,,10,19,False,
2019-10-19 09:00:00,111.91,209.77666666666667,8.449,39.334,29.992,62.97333333333333,19.7295,1.033,26.828000000000003,2.51,7.73,1.702,,3.5700000000000003,3.9775,26.33142857142857,64.63888888888889,0.8140000000000001,126.61055555555556,0.0,0.0,237.442,783.0535714285714,,10,19,False,
2019-10-19 10:00:00,121.819,238.49888888888887,27.341,36.4915,43.5065,66.824375,11.59722222222222,0.9155555555555556,42.21,2.495,8.11875,1.589,,3.358333333333333,3.37375,28.652142857142856,60.35777777777778,0.7715,139.18333333333334,0.0,0.0,320.74850000000004,782.8199999999999,,10,19,False,
2019-10-19 11:00:00,124.084,245.3838888888889,29.08722222222222,37.498333333333335,40.536,65.19357142857143,15.356666666666667,0.7977272727272727,63.307,1.8775,7.006,1.311,,3.0316666666666667,2.835,30.65642857142857,53.70166666666667,0.7845,156.45777777777778,0.0,0.0,347.1695,782.46,,10,19,False,
2019-10-19 12:00:00,139.93699999999998,272.42555555555555,20.623888888888885,46.7855,31.593499999999995,32.754375,11.726,0.875,79.34045454545455,1.666,5.976999999999999,1.127,,2.3316666666666666,2.425,32.145,48.2315,0.7627272727272728,157.668,0.0,0.0,380.5515,795.926875,,10,19,False,
2019-10-19 13:00:00,124.62681818181818,238.3155,3.603636363636364,30.95727272727273,17.346363636363638,40.16222222222222,10.92,0.7345833333333333,88.19636363636363,1.5539999999999998,5.973,0.8720000000000001,,1.8333333333333333,1.77,32.762142857142855,45.614,0.9113636363636364,145.701,0.0,0.0,318.579,795.8825,,10,19,False,
2019-10-19 14:00:00,92.0975,175.19388888888886,3.389583333333334,24.532916666666665,15.40875,44.084,11.281666666666666,0.6629166666666667,94.20727272727272,2.6175,6.338,1.4529999999999998,,2.1625,1.954,32.83642857142857,44.8265,0.918181818181818,167.1705,0.0,0.0,240.4405,797.93375,,10,19,False,
2019-10-19 15:00:00,86.9555,165.98055555555555,3.314583333333333,23.57166666666667,15.294166666666667,43.73,8.950416666666667,0.6554166666666666,92.87,1.50125,5.125,1.0583333333333331,3.03,1.78125,1.8975,32.425714285714285,44.454,1.0263636363636364,140.505,0.0125,0.0307692307692307,174.554,805.7775,,10,19,False,
2019-10-19 16:00:00,80.51555555555555,150.953125,3.9970833333333338,27.477500000000003,18.1575,44.3355,8.964583333333334,0.7066666666666667,81.81227272727273,1.356875,4.615625,1.0583333333333331,2.09,1.5275,1.7375,31.360714285714288,47.606,0.8350000000000001,160.846,0.0,0.0,83.63,805.020625,,10,19,False,
